#RELEVAMIENTO GRAVIMETRICO EXTRAIDO DEL:
#CATALOGO GENERAL DE ESTACIONES GRAVIMETRICAS
#OBSERVATORIO ASTRONOMICO UNLP
#SERIE GEODESICA - TOMO IX.
#
#MATEO J. LEVIN E et al; 1976
#
#
#   LONGITUD    LATITUD       COTA     GOBSERV         GBOUGUER
#     (ø)         (ø)          (m)      (mGal)          (mGal)

   -58.56335  -34.63831    23.18   979705.0        -5.600
   -59.42500  -34.64497    40.69      707.6        -0.100
   -58.61838  -34.64832    26.20      704.8        -6.000
   -59.36666  -34.67001    40.71      708.6        -1.200
   -58.55501  -34.67337    25.18      708.3        -4.800
   -58.52661  -34.69331    25.45      713.6        -1.200
   -58.51162  -34.70169    16.59      717.9         0.700
   -58.27831  -34.70997    19.48      717.7         0.300
   -59.26834  -34.72003    40.23      708.8        -5.400
   -58.25998  -34.72504    16.82      719.4         0.200
   -59.18669  -34.75170    39.59      709.6        -7.300
   -58.20671  -34.76501    20.64      726.3         4.500
   -58.39668  -34.77505    19.95      728.7         5.900
   -58.43832  -34.78001    16.81      728.2         4.400
   -58.17171  -34.78170     7.14      733.4         7.500
   -58.15500  -34.79163    10.18      734.6         8.500
   -58.37997  -34.79168    23.65      729.0         5.500
   -59.03163  -34.79501    32.68      716.6        -5.400
   -58.33836  -34.80167    20.91      731.8         6.900
   -58.27328  -34.80996    22.59      735.6        10.300
   -57.98169  -34.81502     4.41      744.3        15.100
   -58.22836  -34.82003    20.34      738.3        11.800
   -58.18497  -34.83499    20.00      741.6        13.700
   -58.09332  -34.83665    11.92      743.7        14.100
   -58.07497  -34.84997     8.51      746.8        15.500
   -57.90166  -34.86333     4.02      751.6        18.200
   -58.04167  -34.86665     9.44      751.1        18.600
   -57.96669  -34.89165    10.58      751.7        17.200
   -58.01836  -34.90837    19.41      750.9        16.700
   -57.94170  -34.94170    22.49      749.1        12.700
   -58.05166  -34.94829    24.91      750.8        14.300
   -58.08997  -34.98171    28.96      749.2        10.700
   -57.89005  -34.99670    21.10      745.0         3.800
   -57.84166  -35.03334    11.84      745.1        -1.200
   -58.75498  -35.06003    31.63      750.7         6.100
   -58.16502  -35.06831    21.25      751.8         4.500
   -57.75002  -35.08665    22.75      745.8        -2.800
   -58.89828  -35.11667    33.43      754.7         5.700
   -60.48833  -35.11664    57.97      747.6         3.400
   -57.64828  -35.12833    15.87      762.5         9.000
   -58.18498  -35.16163    20.59      759.0         3.600
   -58.23163  -35.16665    16.78      761.5         4.900
   -59.22666  -35.17168    30.76      762.0         7.700
   -59.09170  -35.18498    29.00      771.4        15.700
   -59.34664  -35.20168    33.67      767.4        11.200
   -58.28001  -35.21998    16.16      771.8        10.600
   -59.48497  -35.24336    35.35      773.9        14.500
   -59.63167  -35.26670    39.70      770.7        10.100
   -57.57501  -35.26837    20.45      770.2         5.700
   -59.55669  -35.26997    35.18      774.4        12.700
   -59.77333  -35.27336    44.41      776.4        16.200
   -58.40495  -35.27333    22.30      780.1        15.600
   -58.19832  -35.27837    15.35      776.6        10.200
   -58.59667  -35.29671    28.45      785.7        20.400
   -59.16669  -35.30334    29.69      787.4        21.700
   -59.95172  -35.31665    48.34      790.6        27.500
   -57.45499  -35.32169    17.39      775.2         5.600
   -58.72163  -35.34163    27.29      791.5        22.200
   -60.74336  -35.35170    67.31      776.3        14.000
   -58.15000  -35.36335    15.22      783.4         9.800
   -58.84998  -35.37501    28.76      794.3        22.400
   -57.33664  -35.38663    17.56      785.0         9.900
   -59.33334  -35.40334    31.99      806.0        32.300
   -60.16497  -35.42499    51.91      790.5        18.900
   -58.81661  -35.43670    23.79      796.9        18.800
   -60.87662  -35.45500    76.44      781.2        11.800
   -57.28163  -35.46497    12.00      789.2         6.400
   -59.10169  -35.48333    26.13      817.5        35.800
   -59.25166  -35.50995    28.20      823.7        40.100
   -59.51171  -35.51164    33.59      806.4        23.800
   -60.99998  -35.51498    79.83      779.9         6.100
   -58.31329  -35.52166    21.25      794.0         8.100
   -57.32331  -35.53330    10.24      794.8         5.700
   -59.35335  -35.54497    29.36      823.8        37.500
   -60.35667  -35.56502    57.43      796.9        14.400
   -58.01671  -35.57167    12.60      812.0        20.200
   -59.66170  -35.57832    38.17      807.6        20.200
   -59.51000  -35.59330    33.90      818.9        29.400
   -59.79503  -35.60665    44.94      799.4        10.900
   -59.78336  -35.63665    43.59      801.0         9.700
   -59.62833  -35.63663    35.04      812.9        19.900
   -60.40163  -35.64330    64.35      791.5         3.800
   -59.68665  -35.65996    38.88      808.7        14.500
   -58.95671  -35.67496    24.66      834.6        36.200
   -58.43501  -35.68003    19.26      836.8        37.000
   -57.95338  -35.68497    10.44      829.5        27.600
   -58.46333  -35.71834    17.65      845.3        41.900
   -60.55832  -35.73668    69.78      794.0        -0.700
   -57.92335  -35.76502    10.13      843.7        34.900
   -58.49333  -35.76829    20.74      852.2        45.200
   -60.64171  -35.82334    71.27      799.8        -2.000
   -60.68496  -35.85996    73.10      800.7        -3.900
   -57.89336  -35.87498    11.39      862.7        44.600
   -58.58333  -35.87501    21.46      861.1        45.000
   -60.73170  -35.89664    74.87      803.3        -4.100
   -58.77338  -35.93163    25.12      852.2        32.000
   -58.93836  -35.96664    31.29      844.0        22.100
   -57.85004  -35.97001     8.52      876.3        49.600
   -58.14001  -36.00496    14.39      888.6        60.000
   -59.09329  -36.02163    35.50      843.7        17.900
   -57.81004  -36.09337    10.73      886.3        49.400
   -59.14662  -36.14829    43.47      845.6        10.500
   -59.26829  -36.15000    46.21      844.9        10.200
   -57.74171  -36.20329    10.71      883.1        36.800
   -59.36332  -36.24500    57.35      845.2         4.500
   -57.68662  -36.30334     8.24      882.3        26.900
   -59.43495  -36.30997    65.43      843.8        -0.900
   -57.68166  -36.31667     9.10      882.2        25.800
   -59.51335  -36.38170    73.81      844.8        -4.500
   -56.94171  -36.40831     2.31      913.1        47.500
   -59.14165  -36.40998    57.07      867.5        12.500
   -57.75837  -36.45672     9.75      879.6        11.300
   -57.00004  -36.48835     5.27      909.3        37.300
   -59.64336  -36.51834    89.16      864.8         6.800
   -57.32336  -36.52163     4.40      897.5        22.600
   -59.13335  -36.53501    67.24      870.3         6.500
   -59.72662  -36.62328   107.96      868.3         5.000
   -59.14838  -36.64002    80.69      878.9         8.800
   -57.79334  -36.65497    10.20      892.6         7.300
   -57.79329  -36.65668    10.96      892.4         7.100
   -57.58995  -36.71500     8.85      899.7         8.900
   -56.67497  -36.72663     5.00      937.9        45.400
   -59.09172  -36.78001    94.24      891.8        12.200
   -57.80331  -36.79166    10.38      885.7       -11.500
   -57.46832  -36.83005     7.60      912.0        11.000
   -57.88503  -36.86333    16.45      900.0        -2.200
   -57.36337  -36.88335     8.06      915.2         9.700
   -57.22997  -36.95005     7.63      927.0        15.600
   -58.09332  -36.95165    30.87      903.1        -3.800
   -57.13998  -36.99998     8.08      933.7        18.000
   -58.30169  -37.06835    54.26      920.2         7.800
   -57.82837  -37.08171    22.25      939.8        19.800
   -57.08329  -37.15165     6.98      944.7        15.700
   -58.47330  -37.15169    76.23      931.8        16.400
   -58.68170  -37.21501   105.65      935.5        20.500
   -58.91832  -37.25336   140.37      939.4        27.800
   -56.97994  -37.26833     4.00      954.6        15.000
   -57.19997  -37.26834     8.91      957.1        18.300
   -57.77836  -37.27665    24.77      961.5        25.200
   -57.76670  -37.32003    24.30      969.7        29.500
   -58.42330  -37.34169    79.78      953.0        21.800
   -57.72834  -37.45499    26.61      981.2        29.700
   -57.43671  -37.48667     9.12      982.3        24.600
   -58.34000  -37.54166    84.08      967.7        19.900
   -57.54166  -37.57836    15.66      988.2        23.800
   -57.68330  -37.58834    26.62      984.4        21.300
   -57.67831  -37.62167    27.84      983.9        18.200
   -58.23829  -37.64668    79.38      983.5        25.700
   -57.66833  -37.66166    28.72      982.4        13.300
   -57.65167  -37.72997    26.79      986.3        10.900
   -57.62999  -37.80170    26.91      999.5        17.700
   -58.26336  -37.83500   111.02      994.2        26.100
   -57.60670  -37.88996    27.09   980006.3        16.900
   -57.56662  -37.98499    16.65      028.8        29.100
   -57.71504  -38.04003    78.01      030.2        37.800
   -57.75663  -38.07336    66.24      035.5        37.800
   -57.79668  -38.08664    61.49      037.5        37.700
   -57.81001  -38.09832    55.29      036.9        34.900
   -57.83996  -38.11501    58.64      033.3        30.400
   -57.89501  -38.11997    55.24      030.0        26.100
   -57.98334  -38.13837    56.60      032.3        27.000

#COMENTARIO: GOBSERV REPRESENTA LA GRAVEDAD OBSERVADA
#            YA CORREGIDA POR LATITUD
#REFERENCIA: 1930
