Muestra;Temperaturasht;Humedadsht;TemperaturaBME;HumedadBME;PresionBME;AltitudBME;TempSuelo;HumedadSuelo;Fecha;Hora;Latitud;Longitud;PresicionGPS;AltitudGPS
3;42.03;52.3;40.83;45.94;1007.29;49.75;32.017;1159;20/09/2022;19:04:27;10.581192;-74.231979;84;40.3
3;42.07;51.83;40.93;45.71;1007.31;49.57;31.856;1189;20/09/2022;19:04:32;10.581195;-74.231979;84;40.7
3;42.24;51.6;41.02;45.39;1007.28;49.79;31.724;1226;20/09/2022;19:04:32;10.581195;-74.231979;84;40.7
3;42.3;49.85;41.1;44.86;1007.27;49.92;31.699;1263;20/09/2022;19:04:37;10.581195;-74.231979;84;41.1
3;42.33;51.08;41.18;45.03;1007.28;49.81;31.543;1296;20/09/2022;19:04:37;10.581195;-74.231979;84;41.1
3;42.28;47.02;41.19;45.06;1007.26;49.99;31.525;1328;20/09/2022;19:04:42;10.581194;-74.231979;100;42
3;42.38;51.71;41.23;45.03;1007.26;50;31.497;1358;20/09/2022;19:04:47;10.581195;-74.231979;84;42.5
3;42.5;53.94;41.33;44.98;1007.28;49.85;31.356;1378;20/09/2022;19:04:47;10.581195;-74.231979;84;42.5
3;42.67;53.37;41.44;45.18;1007.28;49.8;31.345;1399;20/09/2022;19:04:52;10.581195;-74.231979;76;42.3
3;42.68;56.12;41.51;45.84;1007.28;49.8;31.33;1413;20/09/2022;19:04:52;10.581195;-74.231979;76;42.3
3;42.73;56.81;41.61;46.42;1007.29;49.71;31.311;1421;20/09/2022;19:04:57;10.581195;-74.231979;76;42.4
3;42.92;54.72;41.7;46.59;1007.29;49.76;31.287;1426;20/09/2022;19:05:02;10.581196;-74.231979;76;42.7
3;43.06;53.57;41.78;46.25;1007.27;49.92;31.265;1426;20/09/2022;19:05:02;10.581196;-74.231979;76;42.7
3;43.22;52.16;41.87;45.28;1007.28;49.85;31.242;1434;20/09/2022;19:05:07;10.581197;-74.231979;76;43.2
3;43.37;52.52;41.96;44.95;1007.31;49.56;31.222;1434;20/09/2022;19:05:07;10.581197;-74.231979;76;43.2
3;43.48;50.95;42.03;44.4;1007.29;49.71;31.202;1425;20/09/2022;19:05:12;10.581198;-74.231979;76;43.2
3;43.63;51.21;42.13;44.14;1007.32;49.48;31.186;1424;20/09/2022;19:05:17;10.581198;-74.231979;76;43.2
3;43.73;51.08;42.2;44.17;1007.29;49.71;31.172;1427;20/09/2022;19:05:17;10.581198;-74.231979;76;43.2
3;43.86;50.21;42.27;43.98;1007.29;49.73;31.159;1424;20/09/2022;19:05:22;10.581198;-74.231987;77;42.6
3;43.95;49.16;42.33;43.42;1007.28;49.82;31.148;1426;20/09/2022;19:05:22;10.581198;-74.231987;77;42.6
3;44.05;48.91;42.4;43.2;1007.3;49.66;31.139;1431;20/09/2022;19:05:27;10.581198;-74.231979;77;42.8
3;44.11;48.04;42.46;42.65;1007.3;49.66;31.133;1434;20/09/2022;19:05:32;10.581199;-74.231979;77;42.9
