Muestra, Temperatura BME, Humedad BME, Presion BME, Altitud BME, Temperatura Suelo, Humedad Suelo,Fecha, Latitud, Longitud, Presicion GPS, Altitud GPS 
1,34.08,56.98,1010.38,23.96,43.579,4095,2022-12-13T15:19:51,10.816010,-74.170227,134.00,29.50
1,34.00,57.46,1010.31,24.54,35.779,4095,2022-12-13T15:19:51,10.816010,-74.170227,134.00,29.50
1,33.99,57.52,1010.36,24.08,35.147,4095,2022-12-13T15:19:56,10.816007,-74.170227,134.00,30.90
1,33.97,57.85,1010.39,23.86,36.208,4095,2022-12-13T15:19:56,10.816007,-74.170227,134.00,30.90
1,33.97,57.40,1010.43,23.48,36.364,4095,2022-12-13T15:20:01,10.816012,-74.170235,390.00,28.20
1,33.93,56.59,1010.48,23.12,41.824,4095,2022-12-13T15:20:06,10.816006,-74.170227,113.00,28.80
1,35.52,58.38,1010.56,22.43,32.847,983,2022-12-13T15:22:38,10.816000,-74.170296,95.00,20.50
1,35.62,57.33,1010.53,22.64,32.841,925,2022-12-13T15:22:38,10.816000,-74.170296,95.00,20.50
1,35.62,56.87,1010.56,22.42,32.694,1040,2022-12-13T15:22:43,10.816005,-74.170303,95.00,19.70
1,35.63,56.68,1010.57,22.30,32.879,1051,2022-12-13T15:22:43,10.816005,-74.170303,95.00,19.70
1,35.56,57.32,1010.55,22.47,32.880,1071,2022-12-13T15:22:48,10.816010,-74.170303,95.00,19.60
1,35.58,56.73,1010.54,22.57,32.885,1077,2022-12-13T15:22:53,10.816015,-74.170303,95.00,20.20
2,34.99,58.63,1010.57,22.36,35.490,2681,2022-12-13T15:24:08,10.815985,-74.170273,96.00,30.30
2,34.94,58.28,1010.57,22.33,35.687,2693,2022-12-13T15:24:08,10.815985,-74.170273,96.00,30.30
2,34.91,60.02,1010.54,22.57,35.549,2673,2022-12-13T15:24:13,10.815984,-74.170280,96.00,30.80
2,34.96,60.04,1010.55,22.46,35.957,2707,2022-12-13T15:24:13,10.815984,-74.170280,96.00,30.80
2,34.98,58.75,1010.55,22.50,36.377,2707,2022-12-13T15:24:18,10.815985,-74.170273,96.00,31.00
3,34.70,59.61,1010.55,22.54,34.713,1673,2022-12-13T15:25:13,10.815957,-74.170265,112.00,38.80
3,34.72,59.81,1010.56,22.43,34.801,1680,2022-12-13T15:25:13,10.815957,-74.170265,112.00,38.80
3,34.72,59.87,1010.52,22.78,34.600,1692,2022-12-13T15:25:18,10.815965,-74.170288,107.00,33.10
3,34.71,59.91,1010.45,23.30,34.389,1573,2022-12-13T15:25:23,10.815967,-74.170296,96.00,31.00
3,34.73,59.96,1010.47,23.15,34.150,1697,2022-12-13T15:25:23,10.815967,-74.170296,96.00,31.00
